yr,mon,arr_hour,delay_type,type_count
2010,7,7,None,15244
2010,7,7,Slight,2495
2010,7,7,Moderate,680
2010,7,7,Severe,572
2010,7,8,None,20351
2010,7,8,Slight,4265
2010,7,8,Moderate,1117
2010,7,8,Severe,952
2010,7,9,None,26829
2010,7,9,Slight,6312
2010,7,9,Moderate,1863
2010,7,9,Severe,1298
2010,7,10,None,25150
2010,7,10,Slight,7552
2010,7,10,Moderate,2385
2010,7,10,Severe,1880
2010,7,11,None,23185
2010,7,11,Slight,7363
2010,7,11,Moderate,2624
2010,7,11,Severe,1659
2010,7,12,None,24111
2010,7,12,Slight,8880
2010,7,12,Moderate,3420
2010,7,12,Severe,2030
2010,7,13,None,21179
2010,7,13,Slight,8625
2010,7,13,Moderate,3329
2010,7,13,Severe,2062
2010,7,14,None,21648
2010,7,14,Slight,9355
2010,7,14,Moderate,4100
2010,7,14,Severe,2494
2010,7,15,None,18613
2010,7,15,Slight,8442
2010,7,15,Moderate,4007
2010,7,15,Severe,2612
2010,7,16,None,20522
2010,7,16,Slight,10832
2010,7,16,Moderate,5133
2010,7,16,Severe,3588
2010,7,17,None,17300
2010,7,17,Slight,9357
2010,7,17,Moderate,5211
2010,7,17,Severe,3953
2010,7,18,None,17746
2010,7,18,Slight,9288
2010,7,18,Moderate,5536
2010,7,18,Severe,4916
2010,7,19,None,16348
2010,7,19,Slight,8780
2010,7,19,Moderate,5735
2010,7,19,Severe,5222
2010,7,20,None,17131
2010,7,20,Slight,9240
2010,7,20,Moderate,6546
2010,7,20,Severe,6377
2010,7,21,None,13732
2010,7,21,Slight,7144
2010,7,21,Moderate,5214
2010,7,21,Severe,5257
2010,7,22,None,11823
2010,7,22,Slight,6583
2010,7,22,Moderate,4817
2010,7,22,Severe,4734
2010,7,23,None,9927
2010,7,23,Slight,5567
2010,7,23,Moderate,4069
2010,7,23,Severe,3716
2010,8,0,None,2086
2010,8,0,Slight,1093
2010,8,0,Moderate,675
2010,8,0,Severe,530
2010,8,1,None,367
2010,8,1,Slight,162
2010,8,1,Moderate,88
2010,8,1,Severe,73
2010,8,2,None,34
2010,8,2,Slight,21
2010,8,2,Moderate,12
2010,8,2,Severe,11
2010,8,3,None,54
2010,8,3,Slight,16
2010,8,3,Moderate,7
2010,8,3,Severe,13
2010,8,4,None,328
2010,8,4,Slight,91
2010,8,4,Moderate,18
2010,8,4,Severe,13
2010,8,5,None,2201
2010,8,5,Slight,872
2010,8,5,Moderate,325
2010,8,5,Severe,233
2010,8,6,None,6018
2010,8,6,Slight,1236
2010,8,6,Moderate,416
2010,8,6,Severe,327
2010,8,7,None,15732
2010,8,7,Slight,2143
2010,8,7,Moderate,529
2010,8,7,Severe,492
2010,8,8,None,21093
2010,8,8,Slight,3672
2010,8,8,Moderate,1002
2010,8,8,Severe,726
2010,8,9,None,28066
2010,8,9,Slight,5394
2010,8,9,Moderate,1671
2010,8,9,Severe,1150
2010,8,10,None,26604
2010,8,10,Slight,6334
2010,8,10,Moderate,2148
2010,8,10,Severe,1599
2010,8,11,None,24849
2010,8,11,Slight,6671
2010,8,11,Moderate,2310
2010,8,11,Severe,1464
2010,8,12,None,25851
2010,8,12,Slight,7815
2010,8,12,Moderate,2933
2010,8,12,Severe,1979
2010,8,13,None,22759
2010,8,13,Slight,7675
2010,8,13,Moderate,3073
2010,8,13,Severe,1793
2010,8,14,None,23786
2010,8,14,Slight,8443
2010,8,14,Moderate,3551
2010,8,14,Severe,2069
2010,8,15,None,20497
2010,8,15,Slight,8164
2010,8,15,Moderate,3627
2010,8,15,Severe,2036
2010,8,16,None,23464
2010,8,16,Slight,10095
2010,8,16,Moderate,4414
2010,8,16,Severe,2668
2010,8,17,None,20374
2010,8,17,Slight,9195
2010,8,17,Moderate,4448
2010,8,17,Severe,2856
2010,8,18,None,20574
2010,8,18,Slight,9368
2010,8,18,Moderate,4849
2010,8,18,Severe,3445
2010,8,19,None,19687
2010,8,19,Slight,8807
2010,8,19,Moderate,4594
2010,8,19,Severe,3571
2010,8,20,None,20809
2010,8,20,Slight,9459
2010,8,20,Moderate,5412
2010,8,20,Severe,4306
2010,8,21,None,16555
2010,8,21,Slight,7365
2010,8,21,Moderate,4455
2010,8,21,Severe,3756
2010,8,22,None,14355
2010,8,22,Slight,6332
2010,8,22,Moderate,3868
2010,8,22,Severe,3309
2010,8,23,None,11540
2010,8,23,Slight,5313
2010,8,23,Moderate,3236
2010,8,23,Severe,2647
2010,9,0,None,1686
2010,9,0,Slight,600
2010,9,0,Moderate,262
2010,9,0,Severe,177
2010,9,1,None,171
2010,9,1,Slight,42
2010,9,1,Moderate,21
2010,9,1,Severe,17
