yr,mon,dep_hour,delay_type,type_count
2010,8,2,Severe,8
2010,8,3,None,23
2010,8,3,Slight,10
2010,8,3,Moderate,10
2010,8,3,Severe,3
2010,8,4,None,0
2010,8,4,Slight,0
2010,8,4,Moderate,0
2010,8,4,Severe,0
2010,8,5,None,3749
2010,8,5,Slight,710
2010,8,5,Moderate,169
2010,8,5,Severe,95
2010,8,6,None,31393
2010,8,6,Slight,7177
2010,8,6,Moderate,1799
2010,8,6,Severe,992
2010,8,7,None,30530
2010,8,7,Slight,8158
2010,8,7,Moderate,2589
2010,8,7,Severe,1409
2010,8,8,None,27898
2010,8,8,Slight,8130
2010,8,8,Moderate,3165
2010,8,8,Severe,1638
2010,8,9,None,25270
2010,8,9,Slight,6902
2010,8,9,Moderate,2861
2010,8,9,Severe,1689
2010,8,10,None,26730
2010,8,10,Slight,8087
2010,8,10,Moderate,3729
2010,8,10,Severe,1937
2010,8,11,None,24466
2010,8,11,Slight,7521
2010,8,11,Moderate,3432
2010,8,11,Severe,2021
2010,8,12,None,23561
2010,8,12,Slight,7717
2010,8,12,Moderate,3750
2010,8,12,Severe,2065
2010,8,13,None,23489
2010,8,13,Slight,8225
2010,8,13,Moderate,4122
2010,8,13,Severe,2339
2010,8,14,None,20614
2010,8,14,Slight,7684
2010,8,14,Moderate,4437
2010,8,14,Severe,2519
2010,8,15,None,21418
2010,8,15,Slight,7974
2010,8,15,Moderate,4709
2010,8,15,Severe,3138
2010,8,16,None,19974
2010,8,16,Slight,7519
2010,8,16,Moderate,4859
2010,8,16,Severe,3491
2010,8,17,None,21454
2010,8,17,Slight,7654
2010,8,17,Moderate,5050
2010,8,17,Severe,4099
2010,8,18,None,19858
2010,8,18,Slight,7024
2010,8,18,Moderate,4596
2010,8,18,Severe,4108
2010,8,19,None,18606
2010,8,19,Slight,6953
2010,8,19,Moderate,4668
2010,8,19,Severe,4152
2010,8,20,None,11912
2010,8,20,Slight,4177
2010,8,20,Moderate,3006
2010,8,20,Severe,2572
2010,8,21,None,11000
2010,8,21,Slight,3936
2010,8,21,Moderate,2325
2010,8,21,Severe,2015
2010,8,22,None,5958
2010,8,22,Slight,1770
2010,8,22,Moderate,1069
2010,8,22,Severe,781
2010,8,23,None,2430
2010,8,23,Slight,606
2010,8,23,Moderate,375
2010,8,23,Severe,232
2010,9,0,None,625
2010,9,0,Slight,136
2010,9,0,Moderate,44
2010,9,0,Severe,24
2010,9,1,None,312
2010,9,1,Slight,52
2010,9,1,Moderate,12
2010,9,1,Severe,7
2010,9,2,None,45
2010,9,2,Slight,14
2010,9,2,Moderate,6
2010,9,2,Severe,1
2010,9,3,None,22
2010,9,3,Slight,3
2010,9,3,Moderate,2
2010,9,3,Severe,2
2010,9,4,None,0
2010,9,4,Slight,0
2010,9,4,Moderate,0
2010,9,4,Severe,0
2010,9,5,None,3638
2010,9,5,Slight,645
2010,9,5,Moderate,163
2010,9,5,Severe,89
2010,9,6,None,29620
2010,9,6,Slight,6259
2010,9,6,Moderate,1594
2010,9,6,Severe,606
2010,9,7,None,28583
2010,9,7,Slight,7155
2010,9,7,Moderate,2138
2010,9,7,Severe,885
2010,9,8,None,27446
2010,9,8,Slight,7808
2010,9,8,Moderate,2736
2010,9,8,Severe,1095
2010,9,9,None,24911
2010,9,9,Slight,6418
2010,9,9,Moderate,2447
2010,9,9,Severe,1181
2010,9,10,None,26497
2010,9,10,Slight,6817
2010,9,10,Moderate,2663
2010,9,10,Severe,1420
2010,9,11,None,23744
2010,9,11,Slight,6889
2010,9,11,Moderate,2854
2010,9,11,Severe,1517
2010,9,12,None,24451
2010,9,12,Slight,7115
2010,9,12,Moderate,3191
2010,9,12,Severe,1750
2010,9,13,None,23967
2010,9,13,Slight,7154
2010,9,13,Moderate,3323
2010,9,13,Severe,1741
2010,9,14,None,20955
2010,9,14,Slight,6891
2010,9,14,Moderate,3243
2010,9,14,Severe,1791
2010,9,15,None,22060
2010,9,15,Slight,7380
2010,9,15,Moderate,3833
2010,9,15,Severe,2330
2010,9,16,None,20469
2010,9,16,Slight,7131
2010,9,16,Moderate,3866
2010,9,16,Severe,2332
2010,9,17,None,22045
2010,9,17,Slight,6891
2010,9,17,Moderate,4031
2010,9,17,Severe,2836
2010,9,18,None,20577
2010,9,18,Slight,6618
2010,9,18,Moderate,3580
2010,9,18,Severe,2737
2010,9,19,None,18679
2010,9,19,Slight,6066
2010,9,19,Moderate,3679
2010,9,19,Severe,2901
