yr,mon,arr_hour,delay_type,type_count
2010,9,17,None,22309
2010,9,17,Slight,7214
2010,9,17,Moderate,3664
2010,9,17,Severe,2194
2010,9,18,None,22398
2010,9,18,Slight,7386
2010,9,18,Moderate,4100
2010,9,18,Severe,2435
2010,9,19,None,21079
2010,9,19,Slight,6868
2010,9,19,Moderate,3839
2010,9,19,Severe,2562
2010,9,20,None,22409
2010,9,20,Slight,7162
2010,9,20,Moderate,4185
2010,9,20,Severe,2958
2010,9,21,None,18062
2010,9,21,Slight,5773
2010,9,21,Moderate,3476
2010,9,21,Severe,2917
2010,9,22,None,15223
2010,9,22,Slight,4676
2010,9,22,Moderate,2692
2010,9,22,Severe,2178
2010,9,23,None,12534
2010,9,23,Slight,3561
2010,9,23,Moderate,2162
2010,9,23,Severe,1410
2010,10,0,None,1858
2010,10,0,Slight,629
2010,10,0,Moderate,337
2010,10,0,Severe,218
2010,10,1,None,154
2010,10,1,Slight,50
2010,10,1,Moderate,33
2010,10,1,Severe,14
2010,10,2,None,46
2010,10,2,Slight,11
2010,10,2,Moderate,5
2010,10,2,Severe,3
2010,10,3,None,25
2010,10,3,Slight,12
2010,10,3,Moderate,6
2010,10,3,Severe,1
2010,10,4,None,286
2010,10,4,Slight,82
2010,10,4,Moderate,26
2010,10,4,Severe,14
2010,10,5,None,1921
2010,10,5,Slight,661
2010,10,5,Moderate,259
2010,10,5,Severe,90
2010,10,6,None,4895
2010,10,6,Slight,1374
2010,10,6,Moderate,423
2010,10,6,Severe,163
2010,10,7,None,12953
2010,10,7,Slight,3150
2010,10,7,Moderate,724
2010,10,7,Severe,380
2010,10,8,None,18718
2010,10,8,Slight,4741
2010,10,8,Moderate,1420
2010,10,8,Severe,668
2010,10,9,None,24915
2010,10,9,Slight,6387
2010,10,9,Moderate,2088
2010,10,9,Severe,900
2010,10,10,None,24977
2010,10,10,Slight,6693
2010,10,10,Moderate,2174
2010,10,10,Severe,1053
2010,10,11,None,25599
2010,10,11,Slight,6856
