yr,mon,u_carrier,delay_type,type_count
2010,6,B6,None,11707
2010,6,B6,Slight,3296
2010,6,B6,Moderate,1630
2010,6,B6,Severe,1751
2010,6,CO,None,13773
2010,6,CO,Slight,10503
2010,6,CO,Moderate,3088
2010,6,CO,Severe,1728
2010,6,DH,None,0
2010,6,DH,Slight,0
2010,6,DH,Moderate,0
2010,6,DH,Severe,0
2010,6,DL,None,39438
2010,6,DL,Slight,24428
2010,6,DL,Moderate,12958
2010,6,DL,Severe,8994
2010,6,EV,None,15089
2010,6,EV,Slight,3626
2010,6,EV,Moderate,2253
2010,6,EV,Severe,2275
2010,6,F9,None,4960
2010,6,F9,Slight,3047
2010,6,F9,Moderate,1371
2010,6,F9,Severe,694
2010,6,FL,None,16675
2010,6,FL,Slight,4700
2010,6,FL,Moderate,2478
2010,6,FL,Severe,1913
2010,6,HA,None,343
2010,6,HA,Slight,152
2010,6,HA,Moderate,48
2010,6,HA,Severe,22
2010,6,HP,None,0
2010,6,HP,Slight,0
2010,6,HP,Moderate,0
2010,6,HP,Severe,0
2010,6,KH,None,0
2010,6,KH,Slight,0
2010,6,KH,Moderate,0
2010,6,KH,Severe,0
2010,6,MQ,None,18201
2010,6,MQ,Slight,7332
2010,6,MQ,Moderate,5136
2010,6,MQ,Severe,4515
2010,6,NW,None,0
2010,6,NW,Slight,0
2010,6,NW,Moderate,0
2010,6,NW,Severe,0
2010,6,OH,None,5930
2010,6,OH,Slight,733
2010,6,OH,Moderate,1120
2010,6,OH,Severe,1422
2010,6,OO,None,32470
2010,6,OO,Slight,10611
2010,6,OO,Moderate,5199
2010,6,OO,Severe,4548
2010,6,TZ,None,0
2010,6,TZ,Slight,0
2010,6,TZ,Moderate,0
2010,6,TZ,Severe,0
2010,6,UA,None,26362
2010,6,UA,Slight,6954
2010,6,UA,Moderate,3566
2010,6,UA,Severe,4185
2010,6,US,None,29707
2010,6,US,Slight,6983
2010,6,US,Moderate,2532
2010,6,US,Severe,2159
2010,6,VX,None,0
2010,6,VX,Slight,0
2010,6,VX,Moderate,0
2010,6,VX,Severe,0
2010,6,WN,None,25371
2010,6,WN,Slight,23208
2010,6,WN,Moderate,9997
2010,6,WN,Severe,5994
2010,6,XE,None,19005
2010,6,XE,Slight,6418
2010,6,XE,Moderate,3852
2010,6,XE,Severe,3934
2010,6,YV,None,8918
2010,6,YV,Slight,1098
2010,6,YV,Moderate,910
2010,6,YV,Severe,970
2010,7,9E,None,10962
2010,7,9E,Slight,3136
2010,7,9E,Moderate,1760
2010,7,9E,Severe,1663
2010,7,AA,None,34902
2010,7,AA,Slight,12892
2010,7,AA,Moderate,6203
2010,7,AA,Severe,5294
2010,7,AS,None,9401
2010,7,AS,Slight,2113
2010,7,AS,Moderate,699
2010,7,AS,Severe,424
2010,7,B6,None,11306
2010,7,B6,Slight,4122
2010,7,B6,Moderate,2342
2010,7,B6,Severe,2380
2010,7,CO,None,12348
2010,7,CO,Slight,11092
2010,7,CO,Moderate,3898
2010,7,CO,Severe,2616
2010,7,DH,None,0
2010,7,DH,Slight,0
2010,7,DH,Moderate,0
2010,7,DH,Severe,0
2010,7,DL,None,40669
2010,7,DL,Slight,23968
2010,7,DL,Moderate,12737
2010,7,DL,Severe,10265
2010,7,EV,None,15583
2010,7,EV,Slight,3502
2010,7,EV,Moderate,2256
2010,7,EV,Severe,2865
2010,7,F9,None,5414
2010,7,F9,Slight,3001
2010,7,F9,Moderate,1243
2010,7,F9,Severe,795
2010,7,FL,None,17059
2010,7,FL,Slight,4727
2010,7,FL,Moderate,2484
2010,7,FL,Severe,2253
2010,7,HA,None,394
2010,7,HA,Slight,149
2010,7,HA,Moderate,35
2010,7,HA,Severe,40
2010,7,HP,None,0
2010,7,HP,Slight,0
2010,7,HP,Moderate,0
2010,7,HP,Severe,0
2010,7,KH,None,0
2010,7,KH,Slight,0
2010,7,KH,Moderate,0
2010,7,KH,Severe,0
2010,7,MQ,None,19944
2010,7,MQ,Slight,8391
2010,7,MQ,Moderate,5409
2010,7,MQ,Severe,3895
2010,7,NW,None,0
2010,7,NW,Slight,0
2010,7,NW,Moderate,0
2010,7,NW,Severe,0
2010,7,OH,None,6479
2010,7,OH,Slight,771
2010,7,OH,Moderate,1003
2010,7,OH,Severe,1265
2010,7,OO,None,33982
2010,7,OO,Slight,10935
2010,7,OO,Moderate,5427
2010,7,OO,Severe,3862
2010,7,TZ,None,0
2010,7,TZ,Slight,0
2010,7,TZ,Moderate,0
2010,7,TZ,Severe,0
2010,7,UA,None,28990
2010,7,UA,Slight,6650
2010,7,UA,Moderate,3349
2010,7,UA,Severe,3485
2010,7,US,None,30066
2010,7,US,Slight,7013
2010,7,US,Moderate,2949
2010,7,US,Severe,2311
2010,7,VX,None,0
2010,7,VX,Slight,0
2010,7,VX,Moderate,0
2010,7,VX,Severe,0
2010,7,WN,None,25664
2010,7,WN,Slight,23514
2010,7,WN,Moderate,10914
2010,7,WN,Severe,6062
2010,7,XE,None,19102
2010,7,XE,Slight,6865
2010,7,XE,Moderate,4213
2010,7,XE,Severe,4515
2010,7,YV,None,9220
2010,7,YV,Slight,1166
2010,7,YV,Moderate,880
2010,7,YV,Severe,905
2010,8,9E,None,12359
2010,8,9E,Slight,2706
2010,8,9E,Moderate,1498
2010,8,9E,Severe,1171
2010,8,AA,None,37198
2010,8,AA,Slight,12488
2010,8,AA,Moderate,5589
2010,8,AA,Severe,4392
2010,8,AS,None,9308
2010,8,AS,Slight,2183
2010,8,AS,Moderate,636
2010,8,AS,Severe,404
2010,8,B6,None,11794
2010,8,B6,Slight,3924
2010,8,B6,Moderate,2305
2010,8,B6,Severe,2121
2010,8,CO,None,15485
2010,8,CO,Slight,10577
2010,8,CO,Moderate,2436
2010,8,CO,Severe,1351
2010,8,DH,None,0
2010,8,DH,Slight,0
2010,8,DH,Moderate,0
2010,8,DH,Severe,0
2010,8,DL,None,49745
2010,8,DL,Slight,22058
2010,8,DL,Moderate,10432
2010,8,DL,Severe,6690
2010,8,EV,None,16320
2010,8,EV,Slight,3178
2010,8,EV,Moderate,2266
2010,8,EV,Severe,2368
2010,8,F9,None,6566
2010,8,F9,Slight,2529
2010,8,F9,Moderate,957
2010,8,F9,Severe,514
2010,8,FL,None,17527
2010,8,FL,Slight,4522
2010,8,FL,Moderate,2415
2010,8,FL,Severe,1914
