yr,mon,dep_hour,delay_type,type_count
2010,6,13,Slight,9554
2010,6,13,Moderate,4228
2010,6,13,Severe,3252
2010,6,14,None,16327
2010,6,14,Slight,9065
2010,6,14,Moderate,4763
2010,6,14,Severe,3369
2010,6,15,None,17127
2010,6,15,Slight,9403
2010,6,15,Moderate,5110
2010,6,15,Severe,4071
2010,6,16,None,15781
2010,6,16,Slight,8499
2010,6,16,Moderate,5156
2010,6,16,Severe,4377
2010,6,17,None,15559
2010,6,17,Slight,9105
2010,6,17,Moderate,6182
2010,6,17,Severe,5286
2010,6,18,None,14841
2010,6,18,Slight,8032
2010,6,18,Moderate,5606
2010,6,18,Severe,5469
2010,6,19,None,13649
2010,6,19,Slight,7645
2010,6,19,Moderate,5608
2010,6,19,Severe,5819
2010,6,20,None,9088
2010,6,20,Slight,4653
2010,6,20,Moderate,3618
2010,6,20,Severe,3733
2010,6,21,None,7984
2010,6,21,Slight,4332
2010,6,21,Moderate,3060
2010,6,21,Severe,2896
2010,6,22,None,4812
2010,6,22,Slight,2163
2010,6,22,Moderate,1305
2010,6,22,Severe,1063
2010,6,23,None,1827
2010,6,23,Slight,937
2010,6,23,Moderate,504
2010,6,23,Severe,429
2010,7,0,None,629
2010,7,0,Slight,342
2010,7,0,Moderate,139
2010,7,0,Severe,74
2010,7,1,None,420
2010,7,1,Slight,216
2010,7,1,Moderate,69
2010,7,1,Severe,29
2010,7,2,None,75
2010,7,2,Slight,21
2010,7,2,Moderate,7
2010,7,2,Severe,7
2010,7,3,None,27
2010,7,3,Slight,14
2010,7,3,Moderate,11
2010,7,3,Severe,9
2010,7,4,None,0
2010,7,4,Slight,0
2010,7,4,Moderate,0
2010,7,4,Severe,0
2010,7,5,None,3864
2010,7,5,Slight,696
2010,7,5,Moderate,130
2010,7,5,Severe,161
2010,7,6,None,32795
2010,7,6,Slight,6078
2010,7,6,Moderate,1281
2010,7,6,Severe,1133
2010,7,7,None,31327
2010,7,7,Slight,7608
2010,7,7,Moderate,2138
2010,7,7,Severe,1598
2010,7,8,None,28689
2010,7,8,Slight,8229
2010,7,8,Moderate,2515
2010,7,8,Severe,1752
2010,7,9,None,23566
2010,7,9,Slight,8097
2010,7,9,Moderate,2790
2010,7,9,Severe,1898
2010,7,10,None,24869
2010,7,10,Slight,9523
2010,7,10,Moderate,3626
2010,7,10,Severe,2279
2010,7,11,None,21906
2010,7,11,Slight,9542
2010,7,11,Moderate,3925
2010,7,11,Severe,2384
2010,7,12,None,20789
2010,7,12,Slight,8798
2010,7,12,Moderate,4178
2010,7,12,Severe,2474
2010,7,13,None,20574
2010,7,13,Slight,9849
2010,7,13,Moderate,4496
2010,7,13,Severe,2995
2010,7,14,None,17075
2010,7,14,Slight,9441
2010,7,14,Moderate,5023
2010,7,14,Severe,3352
2010,7,15,None,17409
2010,7,15,Slight,9467
2010,7,15,Moderate,5320
2010,7,15,Severe,4240
2010,7,16,None,16774
2010,7,16,Slight,8604
2010,7,16,Moderate,5247
2010,7,16,Severe,4592
2010,7,17,None,16229
2010,7,17,Slight,9142
2010,7,17,Moderate,6039
2010,7,17,Severe,5652
2010,7,18,None,15012
2010,7,18,Slight,8234
2010,7,18,Moderate,5927
