yr,mon,u_carrier,delay_type,type_count
2010,7,KH,Moderate,0
2010,7,KH,Severe,0
2010,7,MQ,None,18026
2010,7,MQ,Slight,9369
2010,7,MQ,Moderate,5753
2010,7,MQ,Severe,4491
2010,7,NW,None,0
2010,7,NW,Slight,0
2010,7,NW,Moderate,0
2010,7,NW,Severe,0
2010,7,OH,None,4399
2010,7,OH,Slight,2282
2010,7,OH,Moderate,1451
2010,7,OH,Severe,1386
2010,7,OO,None,30318
2010,7,OO,Slight,13462
2010,7,OO,Moderate,6372
2010,7,OO,Severe,4054
2010,7,TZ,None,0
2010,7,TZ,Slight,0
2010,7,TZ,Moderate,0
2010,7,TZ,Severe,0
2010,7,UA,None,31117
2010,7,UA,Slight,4779
2010,7,UA,Moderate,3277
2010,7,UA,Severe,3301
2010,7,US,None,27387
2010,7,US,Slight,8191
2010,7,US,Moderate,4051
2010,7,US,Severe,2710
2010,7,VX,None,0
2010,7,VX,Slight,0
2010,7,VX,Moderate,0
2010,7,VX,Severe,0
2010,7,WN,None,38787
2010,7,WN,Slight,13595
2010,7,WN,Moderate,8451
2010,7,WN,Severe,5321
2010,7,XE,None,15348
2010,7,XE,Slight,8795
2010,7,XE,Moderate,5413
2010,7,XE,Severe,5139
2010,7,YV,None,7535
2010,7,YV,Slight,2553
2010,7,YV,Moderate,1127
2010,7,YV,Severe,956
2010,8,9E,None,11585
2010,8,9E,Slight,3220
2010,8,9E,Moderate,1788
2010,8,9E,Severe,1141
2010,8,AA,None,38164
2010,8,AA,Slight,11202
2010,8,AA,Moderate,5868
2010,8,AA,Severe,4433
2010,8,AS,None,8967
2010,8,AS,Slight,2345
2010,8,AS,Moderate,824
2010,8,AS,Severe,395
2010,8,B6,None,12143
2010,8,B6,Slight,3523
2010,8,B6,Moderate,2412
2010,8,B6,Severe,2066
2010,8,CO,None,19281
2010,8,CO,Slight,6775
2010,8,CO,Moderate,2427
2010,8,CO,Severe,1366
2010,8,DH,None,0
2010,8,DH,Slight,0
2010,8,DH,Moderate,0
2010,8,DH,Severe,0
2010,8,DL,None,51468
2010,8,DL,Slight,19188
2010,8,DL,Moderate,11406
2010,8,DL,Severe,6863
2010,8,EV,None,15969
2010,8,EV,Slight,3508
2010,8,EV,Moderate,2374
2010,8,EV,Severe,2281
2010,8,F9,None,6535
2010,8,F9,Slight,2395
2010,8,F9,Moderate,1080
2010,8,F9,Severe,556
2010,8,FL,None,16269
2010,8,FL,Slight,5367
2010,8,FL,Moderate,2657
2010,8,FL,Severe,2085
2010,8,HA,None,360
2010,8,HA,Slight,161
2010,8,HA,Moderate,59
2010,8,HA,Severe,36
2010,8,HP,None,0
2010,8,HP,Slight,0
2010,8,HP,Moderate,0
2010,8,HP,Severe,0
2010,8,KH,None,0
2010,8,KH,Slight,0
2010,8,KH,Moderate,0
2010,8,KH,Severe,0
2010,8,MQ,None,23237
2010,8,MQ,Slight,8440
2010,8,MQ,Moderate,4343
2010,8,MQ,Severe,2952
2010,8,NW,None,0
2010,8,NW,Slight,0
2010,8,NW,Moderate,0
2010,8,NW,Severe,0
2010,8,OH,None,5283
2010,8,OH,Slight,2169
2010,8,OH,Moderate,1333
2010,8,OH,Severe,903
2010,8,OO,None,31726
2010,8,OO,Slight,12558
2010,8,OO,Moderate,5691
2010,8,OO,Severe,4374
2010,8,TZ,None,0
2010,8,TZ,Slight,0
2010,8,TZ,Moderate,0
2010,8,TZ,Severe,0
2010,8,UA,None,32721
2010,8,UA,Slight,4516
2010,8,UA,Moderate,3082
2010,8,UA,Severe,2791
2010,8,US,None,29444
2010,8,US,Slight,7693
2010,8,US,Moderate,3447
2010,8,US,Severe,2167
2010,8,VX,None,0
2010,8,VX,Slight,0
2010,8,VX,Moderate,0
2010,8,VX,Severe,0
2010,8,WN,None,39610
2010,8,WN,Slight,14714
2010,8,WN,Moderate,7787
2010,8,WN,Severe,3961
2010,8,XE,None,20940
2010,8,XE,Slight,7906
2010,8,XE,Moderate,3383
2010,8,XE,Severe,2264
2010,8,YV,None,7994
2010,8,YV,Slight,2556
2010,8,YV,Moderate,898
2010,8,YV,Severe,721
2010,9,9E,None,10582
2010,9,9E,Slight,2451
2010,9,9E,Moderate,1346
2010,9,9E,Severe,891
2010,9,AA,None,38034
2010,9,AA,Slight,9326
2010,9,AA,Moderate,4987
2010,9,AA,Severe,3564
2010,9,AS,None,8276
2010,9,AS,Slight,2139
2010,9,AS,Moderate,680
2010,9,AS,Severe,250
2010,9,B6,None,11360
2010,9,B6,Slight,2868
2010,9,B6,Moderate,1815
2010,9,B6,Severe,1825
2010,9,CO,None,17581
2010,9,CO,Slight,6143
2010,9,CO,Moderate,2172
